Product Name,Brand,New Price,Old Price,Discount,Items Left,Ratings
"Samsung Galaxy A06, 6.7"", 4GB RAM+ 64GB (Dual SIM), 5000mAh, Black (1YR WRTY)",N/A,"KSh 11,000","KSh 14,322",23%,Not specified,4.2 out of 5
"Itel A06 6.6"" HD+, 64GB, 2GB RAM, 4000mAh - Black",N/A,"KSh 8,335","KSh 9,000",7%,Not specified,3.5 out of 5
"XIAOMI Redmi 15C, 4G, 6.9"", 8GB RAM + 256GB, 6000mAh, Black (25 Months Warranty)",N/A,"KSh 18,220","KSh 19,860",8%,Not specified,4.4 out of 5
Amtec AM-006 15000W Multimedia System 2.1CH FM/SD/BT/USB (1YR WRTY).,N/A,"KSh 7,980","KSh 9,708",18%,Not specified,4 out of 5
"XIAOMI Redmi 15 4G, 6.9"", 8GB RAM + 256GB, 7000mAh, Black (25 Months Warranty)",N/A,"KSh 20,790","KSh 25,000",17%,Not specified,4.2 out of 5
Hisense H20MOMS11 - 20 Liters Microwave - White (2YRs WRTY),N/A,"KSh 7,390","KSh 12,399",40%,Not specified,4.3 out of 5
"Infinix Hot 60i 4G, 6.7"", 8GB RAM + 256GB, 5160mAh (Dual SIM), Black  (1YR WRTY)",N/A,"KSh 17,540","KSh 18,000",3%,Not specified,4.1 out of 5
"Vitron HTC3288QS, 32 inch QLED Smart Android TV, QLED Smart TV, Android TV, Q LED - Black (1YR WRTY)",N/A,"KSh 10,999","KSh 18,999",42%,Not specified,4 out of 5
"Redmi 15C By Xiaomi, 6.9"", 4GB RAM + 128GB (Dual SIM), 6000mAh, Black (25 Months Warranty)",N/A,"KSh 13,290","KSh 15,000",11%,Not specified,4.2 out of 5
"Vitron HTC4300QFS 43 Smart Android TV, 43 inch QLED TV, Full HD Frameless Smart TV, Bluetooth Q LED FHD TV - Black (1YR WRTY)",N/A,"KSh 17,999","KSh 25,999",31%,Not specified,4 out of 5
"Tecno Spark 40 Pro, 6.78'', 128GB + 8GB RAM (+8GB Extended), (Dual Sim), 5200mAh - Ink Black (1YR WRTY)",N/A,"KSh 18,599","KSh 19,000",2%,Not specified,4.6 out of 5
Vision Plus 10KG Twin Tub Top Load Washing Machine - White & Blue (2YRS WRTY),N/A,"KSh 25,000","KSh 26,055",4%,Not specified,4.3 out of 5
Hisense REF094DR Fridge 94 Liters Single Door 94 L Fridge 94ltr Refrigerator 94L Fridge - Silver (2YRs WRTY).,N/A,"KSh 15,570","KSh 25,399",39%,Not specified,4.3 out of 5
"Infinix Smart 20, 6.78"", 128GB +4GB RAM, 5200mAh (Dual SIM) - Sunlike Orange (1YR WRTY)",N/A,"KSh 13,550","KSh 15,000",10%,Not specified,No ratings
